guardanapos	<img src="_guardanapo_servilleta.JPG">	guardanapo	os guardanapos	/os guar.da.na.pos/	/ uʒ ɡwaʁdɐˈnapus /	sm			napkins			npl			servilletas						serviette						Serviette						nàpia						tovagliolo												Português::Curso::A1 Português::Vocabulario::Alimentos::Louça Português::Vocabulario::Actividades::No_Restaurante Português::Vocabulario::Casa::Cozinha::Utensílios Português::Vocabulario::Refeições::Utensílios
toalha de mesa	<img src="_mantel.JPG">	toalha de mesa	a toalha de mesa	/ɐ tuˈaʎɐ dɨ ˈmɛzɐ/	/a toˈaʎɐ dʒi ˈmɛzɐ/	sf			tablecloth	/ˈteɪbəlˌklɔθ/	/ˈteɪbᵊlklɒθ/	n			mantel	/manˈtel/	/manˈtel/				nappe		/nap/				Tischdecke						estovalles						tovaglia												Português::Curso::A1 Português::Vocabulario::Casa::Cozinha::Utensílios Português::Vocabulario::Casa::Tarefas_domésticas Português::Vocabulario::Especial::Falso_Amigo
talher, talheres	<img src="_talheres_cubiertos.JPG">	talher, talheres	o/a talher, os/as talheres	/u tɐ.ˈʎeɾ/   /uʃ tɐ.ˈʎe.ɾɨʃ/	/ ˈɔɐ taˈʎeʁ | ˈɔsɐ taˈʎeɾes /	sm/f			cutlery	/ˈkətlə˞ɹi/	/ˈkʌtləri/	n			cubertería						couverts						Besteck						cuberts						posate												Português::Curso::A1 Português::Vocabulario::Alimentos::Louça Português::Vocabulario::Actividades::No_Restaurante Português::Vocabulario::Casa::Cozinha::Utensílios Português::Vocabulario::Casa::Cozinha::Utensílios::Talheres Português::Vocabulario::Especial::Falso_Amigo
cadeiras	<img src="_cadeiras_sillas.JPG">	cadeiras	as cadeiras	/ɐʃ kɐ.ˈdɐj.ɾɐʃ/	/ aʃ kaˈdejɾas /	sfp			chairs	/ˈtʃɛrz/	/ˈtʃeəz/	npl			sillas						chaises						Stühle						cadires						sedie												Português::Curso::A1 Português::Vocabulario::Alimentos::Louça Português::Vocabulario::Actividades::No_Restaurante Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Móveis
fogão	<img src="_stove.JPG">	fogão	o fogão	/u fu.ˈgɐ̃w/	/ u foˈɡɐ̃w̃ /	sm			stove	/ˈstoʊv/	/ˈstəʊv/	n			estufa	/esˈtufa/	/esˈtufa/				cuisinière		/kɥizinjɛʁ/				Herd						estufa						stufa												Português::Curso::A1 Português::Vocabulario::Casa Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Eletrodomésticos
lava-louça	<img src="_dishwasher.JPG">	lava-louça	o lava-louça	/u lɐvɐˈlosɐ/	/u lavaˈlosɐ/	sm			dishwasher	/ˈdɪʃˌwɔʃə˞/	/ˈdɪʃˌwɒʃə/	n			lavavajillas						lave-vaisselle						Geschirrspüler						escalfador						lavastoviglie												Português::Curso::A1 Português::Vocabulario::Alimentos::Louça Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Eletrodomésticos
micro-ondas	<img src="_microondas.JPG">	micro-ondas	o micro-ondas	/u ˈmi.kɾu-ˈõ.dɐʃ/	/ u mikɾoˈõdas /	sm			microwave	/ˈmaɪkɹoˌweɪv/	/ˈmaɪkrəweɪv/	n			microondas						micro-ondes						Mikrowelle						microones						microonde												Português::Curso::A1 Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Eletrodomésticos
frigorífico	<img src="_en_fridge.JPG">	frigorífico	o frigorífico	/u fɾi.gu.ˈɾi.fɨ.ku/	/ u fɾiɡoˈɾifiku /	sm			fridge	/ˈfɹɪdʒ/	/ˈfrɪdʒ/	n			refrigerador						réfrigérateur						Kühlschrank						frigorífic						frigorifero												Português::Curso::A1 Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Eletrodomésticos
prato	<img src="_prato.JPG">	prato	o prato	/u ˈpɾa.tu/	/ u ˈpɾatu /	sm			plate	/ˈpleɪt/	/ˈpleɪt/	n			plato						assiette						Teller						plat						piatto												Português::Curso::A1 Português::Vocabulario::Alimentos::Louça Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Cozinha::Utensílios
garfo	<img src="_en_fork.JPG">	garfo	o garfo	/u ˈgaɾ.fu/	/ u ˈɡaʁfu /	sm			fork	/ˈfɔrk/	/ˈfɔːk/	n			tenedor						forchetta						Gabel						forquilla						forchetta												Português::Curso::A1 Português::Vocabulario::Casa::Cozinha Português::Vocabulario::Casa::Cozinha::Utensílios::Talheres
